"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","BS7-3V3","~","footprints:BS-7_MPD_VCC_1","1",""
"C1,C4,C9,C13,C14,C15,C16","100nf","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","7",""
"C2,C3","22pF","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","2",""
"C5,C12","10uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2",""
"D1,D2,D11,D12","LED","~","LED_THT:LED_D3.0mm","4",""
"J1","CON-PROG","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J2","SD_Card","http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf","Connector_Card:SD_Hirose_DM1AA_SF_PEJ82","1",""
"J3","CON-TRS80-IO","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Even_Odd_Vertical","1",""
"J4","CON-PWR","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J6","CON-TRS80-VCC","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1",""
"R1,R2,R3,R4,R12","10K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","5",""
"R13,R14,R33,R34","330R","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","4",""
"R16,R17,R18","4K7","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","3",""
"SW1","SW_Reset","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","PIC18F4620-IP","http://ww1.microchip.com/downloads/en/DeviceDoc/39682E.pdf","Package_DIP:DIP-40_W15.24mm","1",""
"U2","GAL16V8D","","Package_DIP:DIP-20_W7.62mm_Socket","1",""
"U3","74LS245","http://www.ti.com/lit/gpn/sn74HC245","Package_DIP:DIP-20_W7.62mm_Socket","1",""
"U4","TS2950-3.3","http://www.ti.com/lit/ds/symlink/lp2950.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"U6","74LS595","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U7","DS1307","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U8","BOB-12009","","footprints:CONV_BOB-12009","1",""
"Y1","10MHz","~","Crystal:Crystal_HC18-U_Vertical","1",""
"Y2","32.7kHz","~","Crystal:Crystal_DS15_D1.5mm_L5.0mm_Horizontal","1",""
