"Reference","Value","Footprint","Datasheet","Qty","#","Description"
"SW10","SW_DIP_x04","Button_Switch_THT:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile","~","1","1","4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"SW2","SW_Reset","Button_Switch_THT:SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6","~","1","2","Switch, single pole double throw"
"C2,C20,C21,C22,C23,C24,C25,C26,C29,C32,C33,C34,C35,C39,C41,C45,C46,C47,C49,C52,C53,C56,C58,C59,C63,C64,C65,C66,C67,C68,C69,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","50","3",""
"C3,C13","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","4",""
"C17,C18","220pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","5",""
"C43,C61","100pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","6",""
"C48,C57","1nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","7",""
"C50","2.7nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","8",""
"C60","47pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","9",""
"C101","2200uF 16V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","1","10","Polarized capacitor"
"C1,C4,C6,C12,C40,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100","10uF 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","16","11",""
"C19","100uF 16V","Capacitor_THT:CP_Radial_Tantal_D8.0mm_P5.00mm","~","1","12",""
"J11","POWER","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","~","1","13","DC Barrel Jack with a PCB mounting"
"J12","VIDEO","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~","1","14","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
