"Reference","MF","MP","Value","Description","Footprint","Datasheet","Qty","#"
"C1,C4,C6,C12,C40,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100","Panasonic Electronic Components","ECA-1CM100I","10uF 16V","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series%2CTypeA.pdf","16","1"
"C2,C20,C21,C22,C23,C24,C25,C26,C29,C32,C33,C34,C35,C39,C41,C45,C46,C47,C49,C52,C53,C56,C58,C59,C63,C64,C65,C66,C67,C68,C69,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89","KYOCERA AVX","SR211C104KAR","100nF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","50","2"
"C3,C13","KYOCERA AVX","SR211C103KAR","10nF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","2","3"
"C17,C18","KYOCERA AVX","SR211A221JAR","220pF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","2","4"
"C19","Panasonic Electronic Components","ECA1CM101I","100uF 16V","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series%2CTypeA.pdf","1","5"
"C43,C61","KYOCERA AVX","SR211A101JAR","100pF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","2","6"
"C48,C57","KYOCERA AVX","SR211A102JAR","1nF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","2","7"
"C50","KYOCERA AVX","SR211A272JAR","2.7nF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","1","8"
"C60","KYOCERA AVX","SR211A470JAR","47pF","Unpolarized capacitor","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://datasheets.kyocera-avx.com/SR-Series.pdf","1","9"
"C70","Panasonic Electronic Components","ECA1CM220I","22uF 16V","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series%2CTypeA.pdf","1","10"
"C101","Panasonic Electronic Components","ECA1AM222","2200uF 10V","Polarized capacitor","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series%2CTypeA.pdf","1","11"
"CN3","Samtec Inc.","TSW-120-08-G-S-RA","Head_1x20 RA Gold","1x20 Pin Header for Main Keyboard","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf","1","12"
