"Reference","Value","Footprint","Datasheet","Qty","DNP","#","Sim.Device","Sim.Pins","Description"
"C60","47pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","","1","","",""
"C43","100pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","","2","","",""
"C17,C18","220pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","","3","","",""
"C48,C57","1nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","","4","","",""
"C50","2.7nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","","5","","",""
"C3,C13","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","2","","6","","",""
"C2,C20,C21,C22,C23,C24,C25,C26,C29,C32,C33,C34,C35,C39,C41,C45,C46,C47,C49,C51,C52,C53,C56,C58,C59,C63,C64,C65,C66,C67,C68,C69,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","51","","7","","",""
"R39","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","8","","",""
"R7","47R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","9","","",""
"R6","75R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","10","","",""
"R1,R32","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","11","","",""
"R9","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","12","","",""
"R10","270R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","13","","",""
"R8,R75","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","14","","",""
"R56,R57","910R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","15","","",""
"R11,R31,R34,R49","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","4","","16","","",""
"R5","220K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","17","","",""
"R38,R42","360K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","18","","",""
"R44,R45,R46,R47,R50","470K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","5","","19","","",""
"R43","560K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","20","","",""
"R35","680K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","21","","",""
"R33,R51","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","22","","",""
"Y1","10.6445MHz","TRS80:Crystal","~","1","","23","","",""
"J17","+5VHeader","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","24","","","Generic connector, single row, 01x02, script generated"
"C19","100uF 16V","Capacitor_THT:CP_Radial_Tantal_D8.0mm_P5.00mm","~","1","","25","","",""
"C1,C4,C6,C12,C40,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100","10uF 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","16","","26","","",""
"R2","1K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","27","","",""
"R36","1M8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","28","","",""
"CR4","1N4001","Diode_THT:D_DO-34_SOD68_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1","","29","D","1=K 2=A",""
"CR5,CR6,CR7,CR8","1N4148","Diode_THT:D_DO-34_SOD68_P10.16mm_Horizontal","~","4","","30","D","1=K 2=A",""
